Salario,Empresa,Comuna,Región,Cargo
N/A,Abenis,Santiago - Las condes,R.Metropolitana,Desarrollador Backend Senior Cloud - Presencial
N/A,Abenis,Santiago - Las condes,R.Metropolitana,Desarrollador Backend Senior Cloud - Presencial
N/A,People GO,Santiago - Pudahuel,R.Metropolitana,Desarrollador de Negocios Senior (Empresas Productivas) - Pudahuel
N/A,J.E.J INGENIERIA S.A,Santiago - Las condes,R.Metropolitana,Programador Mantención Planta Concentradora - Minería
N/A,People GO,Santiago - Vitacura,R.Metropolitana,"Desarrollador (a) de Negocios, rubro seguros – Vitacura"
N/A,People GO,Santiago - Vitacura,R.Metropolitana,Business Developer – Vitacura
N/A,Abenis,Santiago - Las condes,R.Metropolitana,Desarrollador .net
N/A,Transvip SPA,Santiago - Las condes,R.Metropolitana,Desarrollador TI
N/A,HunTI Consultores,Santiago - Providencia,R.Metropolitana,Desarrollador Java – Sistema de Gestión Interna
N/A,BCTecnología,Santiago Centro,R.Metropolitana,Analista Desarrollador Java Weblogic – Contrato Proyecto 6 meses.
N/A,Ingenieria informatica Kibernum S.A.,Santiago - Las condes,R.Metropolitana,Desarrollador Python - Híbrido
N/A,Ingenieria informatica Kibernum S.A.,Santiago - Las condes,R.Metropolitana,Desarrollador Python/Odoo - Hibrido
N/A,Manpower Chile,Santiago - Las condes,R.Metropolitana,Business Developer Manager - Las Condes
N/A,Manpower Chile,Santiago - Las condes,R.Metropolitana,Desarrollador de Negocios - Las Condes
N/A,Help Seguros,Santiago - Las condes,R.Metropolitana,Desarrollador FullStack - Área de seguros
N/A,Perceptual Consultores Ltda.,Santiago - Lo Barnechea,R.Metropolitana,Desarrollador Frontend React.js/Senior - Remoto
N/A,Ingenieria informatica Kibernum S.A.,Santiago - Las condes,R.Metropolitana,Desarrollador Back End - Remoto
